Episode,TotalGlobalSteps,MeanActionJitter,MeanMechJitter,MeanLinearSpeed
422,0,0.096089,0.814998,0.854857
423,0,0.082532,0.658387,0.666010
424,0,0.094270,0.784133,0.752067
425,0,0.087708,0.735894,0.693285
426,0,0.080798,0.650037,0.681456
427,0,0.088654,0.731848,0.682876
428,0,0.089167,0.700482,0.841154
429,0,0.086938,0.686058,0.697550
430,0,0.043711,0.420906,0.568865
431,0,0.082858,0.671091,0.673427
432,0,0.082905,0.665465,0.618258
433,0,0.090706,0.753530,0.720651
434,0,0.090205,0.737288,0.698609
435,0,0.095192,0.767822,0.754510
436,0,0.088559,0.708404,0.723517
437,0,0.087440,0.752709,0.786848
438,0,0.091189,0.752612,0.797607
439,0,0.097907,0.782335,0.890175
440,0,0.099240,0.849574,1.175981
441,0,0.099554,0.849590,0.879431
442,0,0.086575,0.714237,0.864660
443,0,0.040344,0.470772,0.577902
444,0,0.087099,0.711617,0.712548
445,0,0.092740,0.755654,0.737951
446,0,0.092686,0.768701,0.767852
447,0,0.020101,0.253324,0.553035
448,0,0.080279,0.631571,0.609986
449,0,0.085192,0.694880,0.649813
450,0,0.085178,0.681840,0.660064
451,0,0.084513,0.698136,0.806196
452,0,0.078564,0.618757,0.685215
453,0,0.090473,0.752392,0.685836
454,0,0.087313,0.718421,0.775668
455,0,0.089615,0.733757,0.693151
456,0,0.084459,0.679347,0.682108
457,0,0.082256,0.622542,0.569021
458,0,0.079835,0.636668,0.578074
459,0,0.091061,0.727915,1.073744
460,0,0.089741,0.767362,0.712572
461,0,0.091087,0.768838,1.040372
462,0,0.087057,0.692394,0.827033
463,0,0.085995,0.693308,0.760712
464,0,0.101882,0.797128,0.857194
465,0,0.089064,0.726715,0.688826
466,0,0.092569,0.754670,0.789869
467,0,0.089161,0.739181,0.701610
468,0,0.089583,0.711241,0.802112
469,0,0.087949,0.677616,0.667147
470,0,0.090472,0.751336,0.747830
471,0,0.089904,0.788058,0.867070
472,0,0.090631,0.715609,0.850960
473,0,0.079072,0.640843,0.592255
474,0,0.092487,0.753096,0.851129
475,0,0.089578,0.727771,0.663054
476,0,0.093981,0.752616,0.643902
477,0,0.089287,0.744750,0.672536
478,0,0.098281,0.802974,0.780566
479,0,0.093101,0.795934,0.809106
