Episode,TotalGlobalSteps,MeanActionJitter,MeanMechJitter
512,0,0.9808656,7.752352
513,0,0.8378477,7.812652
514,0,0.6144536,6.352778
515,0,0.6980028,7.043907
516,0,0.679352,7.289179
517,0,0.7797961,7.139166
518,0,0.7508546,7.443739
519,0,0.7470565,6.616254
520,0,0,14.05835
521,0,0.6185903,6.444937
522,0,0.71914,6.972281
523,0,0.8923435,7.940254
524,0,0.6729877,6.346409
525,0,0.6155262,6.337216
526,0,0.671154,7.252733
527,0,0.6759722,8.16709
528,0,0.5750847,5.862027
529,0,0.6750682,7.123436
530,0,0.6517748,7.246767
531,0,0,12.3532
532,0,0.9736401,8.394529
533,0,0.5958173,7.097006
534,0,0,9.374729
535,0,0.6055387,6.59587
536,0,0.6796932,7.190336
537,0,0,27.54826
538,0,0.7974945,7.28016
539,0,0.7735537,7.697428
540,0,0.5842686,6.23649
541,0,0.6942654,7.142902
542,0,0.7445905,8.03931
543,0,0.8777429,8.070475
544,0,0.7384613,7.297499
545,0,0.7122189,6.82304
546,0,0.6635746,6.718614
547,0,0.7382525,7.69845
548,0,0.696618,7.020411
549,0,0,13.12001
550,0,0.7521361,7.965487
551,0,0.6307037,6.911596
552,0,0,24.09671
553,0,0.6694375,7.078785
554,0,0.7762251,9.451734
555,0,0.604852,5.964964
556,0,0.6497323,6.912565
557,0,0.7472653,7.212623
558,0,0.6156123,6.399657
559,0,0.6036167,6.874508
560,0,0.7122293,7.351667
561,0,0.5900854,7.16549
562,0,0.6411554,6.741899
563,0,0.7493656,7.495283
564,0,0.6934775,7.264543
565,0,0.7845574,7.256746
566,0,0.6956757,6.781629
567,0,0.7542483,7.270594
568,0,0.6949558,7.630642
569,0,0.6947593,6.587874
570,0,0.6245502,7.408144
571,0,0.521876,5.957233
572,0,0.6251095,6.761851
573,0,0.6444644,7.182173
574,0,0.6443821,7.384977
575,0,0.8726618,8.537316
576,0,0.6339205,7.533437
577,0,0.6760367,6.747942
578,0,0.7334336,7.684837
579,0,0.6300687,6.998647
580,0,0.6687066,6.926734
581,0,0.798943,7.415031
582,0,0.638298,7.143489
583,0,0.8338603,8.078741
584,0,0.640661,6.705979
585,0,0.7298804,7.745072
586,0,0.67058,7.168104
587,0,0.7152666,8.151496
588,0,0.7310053,8.223841
