Episode,Steps,Success,CumulativeSuccessRate
1282,32,1,97.19
1283,369,1,97.19
1284,101,1,97.20
1285,5000,0,97.12
1286,28,1,97.12
1287,338,1,97.13
1288,5000,0,97.05
1289,125,1,97.05
1290,448,1,97.05
1291,401,1,97.06
1292,394,1,97.06
1293,1700,1,97.06
1294,393,1,97.06
1295,19,1,97.07
1296,1210,1,97.07
1297,80,1,97.07
1298,50,1,97.07
1299,217,1,97.07
1300,507,1,97.08
1301,136,1,97.08
1302,865,1,97.08
1303,10,1,97.08
1304,186,1,97.09
1305,3194,1,97.09
1306,122,1,97.09
1307,436,1,97.09
1308,577,1,97.09
1309,110,1,97.10
1310,905,1,97.10
1311,79,1,97.10
1312,691,1,97.10
1313,41,1,97.11
1314,976,1,97.11
1315,411,1,97.11
1316,2461,1,97.11
1317,57,1,97.11
1318,1253,1,97.12
1319,531,1,97.12
1320,2387,1,97.12
1321,1489,1,97.12
1322,1618,1,97.13
1323,400,1,97.13
1324,58,1,97.13
1325,302,1,97.13
1326,4812,1,97.13
1327,230,1,97.14
1328,1742,1,97.14
