Episode,TotalGlobalSteps,MeanActionJitter,MeanMechJitter,MeanLinearSpeed
485,0,0.127929,1.328264,1.308628
486,0,0.124358,1.279511,0.972783
487,0,0.115987,1.208922,0.995067
488,0,0.127243,1.231032,1.083273
489,0,0.125035,1.165126,1.003717
490,0,0.127240,1.223252,1.267097
491,0,0.133263,1.440947,1.483088
492,0,0.114308,1.124170,1.037305
493,0,0.115303,1.217707,1.081407
494,0,0.116908,1.012232,0.945089
495,0,0.121139,1.290275,1.372493
496,0,0.145743,1.310719,1.788490
497,0,0.139795,1.432528,1.228911
498,0,0.125207,1.160679,1.068996
499,0,0.130132,1.259008,0.909441
500,0,0.109815,0.961259,0.971477
501,0,0.132343,1.255841,1.042663
502,0,0.142008,1.502688,1.664456
503,0,0.132658,1.240308,1.022627
504,0,0.118972,1.182631,1.064918
505,0,0.109810,1.157569,1.247604
506,0,0.112222,1.038755,0.954478
507,0,0.127675,1.432109,1.395016
508,0,0.139191,1.394166,1.480418
509,0,0.109349,1.095318,0.942924
510,0,0.128462,1.328401,1.572459
511,0,0.107346,0.981359,0.995038
512,0,0.144326,1.329113,0.893577
513,0,0.150574,1.572719,1.654833
514,0,0.095849,0.913193,0.909593
515,0,0.148291,1.392122,1.064100
516,0,0.170279,1.591957,1.022259
517,0,0.105858,0.882142,0.960035
518,0,0.135200,1.268640,0.988018
519,0,0.121196,1.198486,1.273828
520,0,0.141327,1.418167,1.445259
521,0,0.124442,1.190685,1.587765
522,0,0.126946,1.172669,1.052508
523,0,0.139416,1.445443,1.156282
524,0,0.124793,1.260933,1.182369
525,0,0.127242,1.251871,1.143577
526,0,0.130995,1.243884,1.112665
527,0,0.116973,1.127714,1.071150
528,0,0.120346,1.096612,1.340040
529,0,0.120297,1.166520,1.042263
530,0,0.115860,1.245052,1.249412
531,0,0.135114,1.305653,0.953057
532,0,0.136370,1.053342,1.292819
533,0,0.113081,1.225182,1.065981
534,0,0.121742,1.100381,1.192141
535,0,0.121573,1.178647,1.262639
536,0,0.130776,1.302778,1.326599
537,0,0.111653,1.064126,0.983654
538,0,0.136173,1.377361,1.447496
539,0,0.137084,1.162427,1.112720
540,0,0.151951,1.433093,1.650039
541,0,0.129092,1.221004,1.460310
542,0,0.124785,1.151338,1.100858
543,0,0.111868,1.182031,1.240110
544,0,0.149397,1.343633,1.066173
545,0,0.108064,1.117651,1.067450
546,0,0.137247,1.335404,1.571087
547,0,0.119283,1.123048,0.971111
548,0,0.134830,1.262592,1.115367
549,0,0.143947,1.370701,0.919083
550,0,0.101878,1.029079,1.354746
551,0,0.133731,1.338535,1.426152
552,0,0.143323,1.451686,1.642270
553,0,0.110799,0.971277,0.969040
554,0,0.117672,1.098985,1.292728
555,0,0.119948,1.206176,1.055734
556,0,0.124866,1.172809,1.342939
557,0,0.120671,1.193753,1.279677
558,0,0.137514,1.270041,0.993918
559,0,0.123901,1.280526,1.198547
560,0,0.114750,1.143251,1.267968
561,0,0.101272,0.761795,1.029086
562,0,0.123358,1.116675,0.916349
563,0,0.161201,1.382186,1.132350
564,0,0.114573,1.128540,1.056032
565,0,0.139825,1.374493,1.018616
566,0,0.117623,1.178813,1.167559
567,0,0.133747,1.239316,1.088815
568,0,0.137079,1.349448,1.478362
569,0,0.127405,1.074403,1.083813
570,0,0.111898,0.956550,0.962756
571,0,0.133241,1.366234,1.448285
572,0,0.131910,1.296200,1.334499
573,0,0.119527,1.201437,1.177474
574,0,0.113697,1.133945,1.128762
575,0,0.125580,1.043633,1.282113
576,0,0.107720,1.061978,0.828247
577,0,0.121981,1.242782,1.108749
578,0,0.145508,1.395536,1.289272
579,0,0.121568,1.098624,0.959271
580,0,0.138729,1.263990,1.116136
581,0,0.102888,1.022729,1.148127
582,0,0.113640,1.092616,1.063433
583,0,0.140485,1.420024,1.383662
584,0,0.120039,1.162502,1.122106
585,0,0.121477,1.117375,1.197757
586,0,0.103523,1.066189,1.158970
587,0,0.118771,1.242050,1.323528
588,0,0.097015,0.896544,0.894980
589,0,0.122095,1.314392,1.302279
590,0,0.119162,1.235655,1.201297
591,0,0.120368,1.079404,1.024835
592,0,0.125222,1.240731,0.940129
593,0,0.116428,1.034205,0.964226
594,0,0.130100,1.301718,1.249384
595,0,0.119601,1.113402,1.249066
596,0,0.145499,1.438876,1.046913
597,0,0.112273,1.050625,1.087709
598,0,0.114721,1.191868,1.321240
599,0,0.100026,1.006025,1.224795
600,0,0.132061,1.261262,1.236831
601,0,0.122504,1.263365,1.262805
602,0,0.158228,1.489621,0.958120
603,0,0.131964,1.307360,1.137709
604,0,0.110866,0.950078,1.028698
605,0,0.121193,1.109100,1.073905
606,0,0.102800,0.984600,0.922303
607,0,0.146531,1.352277,1.647573
608,0,0.066013,0.645122,1.498215
609,0,0.113847,1.129273,1.274296
610,0,0.120523,1.088996,1.210409
611,0,0.136466,1.217161,1.125802
612,0,0.131215,1.358146,1.326430
613,0,0.119184,1.146468,1.667076
614,0,0.137384,1.455670,1.746953
615,0,0.106312,0.933229,0.972553
616,0,0.113666,1.225405,1.095855
617,0,0.126766,1.306778,1.299660
618,0,0.108802,1.163668,1.224567
619,0,0.125811,1.159212,1.197863
620,0,0.081388,0.773590,1.433911
621,0,0.106414,0.924662,0.931053
622,0,0.126906,1.269336,1.143145
623,0,0.139999,1.364939,1.424820
624,0,0.134118,1.234407,1.098440
625,0,0.131702,1.182288,1.214645
626,0,0.112581,1.184887,1.414040
627,0,0.119007,1.224740,1.499982
628,0,0.128855,1.254308,1.285394
629,0,0.144423,1.366369,1.024099
630,0,0.146749,1.290482,1.112871
631,0,0.152061,1.516213,1.079799
632,0,0.157238,1.550969,1.095870
633,0,0.110474,1.121344,1.139340
634,0,0.127940,1.235933,1.090958
635,0,0.132726,1.426262,1.574660
636,0,0.107021,1.020958,0.921189
637,0,0.116888,1.151490,0.976675
638,0,0.130192,1.146063,1.042397
639,0,0.131732,1.270296,1.083827
640,0,0.128997,1.308855,1.050952
641,0,0.124384,1.216871,1.249974
642,0,0.125671,1.150950,1.144352
643,0,0.110742,1.018376,1.017189
644,0,0.079172,0.482942,0.593450
645,0,0.141019,1.372347,1.031978
646,0,0.117953,1.165886,1.037749
647,0,0.110277,0.945963,1.170116
648,0,0.122564,1.252865,1.270856
649,0,0.130996,1.198547,0.949939
650,0,0.119013,1.119162,1.281808
651,0,0.134987,1.458384,1.560944
652,0,0.122105,1.190096,1.466090
653,0,0.115534,1.087870,1.058626
654,0,0.115493,1.092432,1.198967
655,0,0.157218,1.614903,1.241853
656,0,0.127999,1.371717,1.444015
657,0,0.118873,1.076730,0.965386
658,0,0.114820,1.111974,1.183893
659,0,0.111444,1.155387,1.354553
660,0,0.151969,1.477487,1.013326
661,0,0.121773,1.116505,1.360020
662,0,0.165412,1.521859,1.131962
663,0,0.144847,1.355789,0.978691
664,0,0.119319,1.074196,0.956610
665,0,0.128010,1.264463,1.216442
666,0,0.127995,1.288156,1.298691
667,0,0.115125,1.081554,1.060271
668,0,0.138369,1.539764,1.679686
669,0,0.136480,1.299735,0.937366
670,0,0.117196,1.195773,1.089138
671,0,0.125642,1.212688,1.045027
672,0,0.139047,1.405013,1.157749
673,0,0.126745,1.132426,1.416693
674,0,0.094616,0.888613,1.069139
675,0,0.136199,1.354733,1.103262
676,0,0.118392,0.961458,1.245175
677,0,0.092209,0.623186,0.645048
678,0,0.123887,1.188779,1.305227
679,0,0.101504,0.920165,0.964388
680,0,0.105015,0.899582,0.915800
681,0,0.116961,1.125869,1.132454
682,0,0.114802,1.070205,1.195047
683,0,0.109824,0.991945,1.040644
684,0,0.133418,1.350730,1.290556
685,0,0.178648,1.599549,1.032617
686,0,0.138693,1.429348,1.568192
687,0,0.114856,1.112439,1.150488
688,0,0.128100,1.351529,1.427433
689,0,0.126919,1.249433,1.375050
690,0,0.125419,1.256215,1.119065
691,0,0.139456,1.428464,1.499773
692,0,0.151145,1.480549,0.969869
693,0,0.128936,1.172241,1.138113
694,0,0.128919,1.301085,1.330215
695,0,0.109290,1.130625,1.319347
696,0,0.152618,1.374924,1.020425
697,0,0.144507,1.347037,0.982588
698,0,0.122997,1.049419,1.173434
699,0,0.114946,1.203392,1.281655
700,0,0.159441,1.463212,1.844955
701,0,0.127612,1.156738,1.406229
702,0,0.121071,1.217260,1.122881
703,0,0.117628,1.148878,1.302939
704,0,0.116934,1.143289,1.351029
705,0,0.107150,1.067926,1.259932
706,0,0.123840,1.180133,1.310094
707,0,0.101920,1.094494,1.323612
708,0,0.112583,1.151459,1.253756
709,0,0.129030,1.358799,1.362469
710,0,0.131696,1.267738,1.210308
711,0,0.116317,1.082530,0.951471
712,0,0.120236,0.985939,1.009612
713,0,0.136573,1.274696,0.839562
714,0,0.145656,1.429397,1.049791
715,0,0.155672,1.483172,0.963790
716,0,0.115181,1.150122,1.188961
717,0,0.107436,1.097298,1.224041
718,0,0.114516,1.211969,1.433726
719,0,0.124925,1.184208,1.255431
720,0,0.121101,1.207140,1.175860
721,0,0.158929,1.407368,1.025286
722,0,0.112496,1.103520,1.235809
723,0,0.115250,1.041981,0.836987
724,0,0.126869,1.255447,1.300287
725,0,0.122683,1.072234,1.352446
726,0,0.124022,1.172731,1.343991
727,0,0.124842,1.205923,1.477045
