Episode,TotalGlobalSteps,MeanActionJitter,MeanMechJitter
375,0,0.5247124,5.313408
376,0,0.5392373,5.549371
377,0,0.6505249,7.050663
378,0,0.5991489,5.886449
379,0,0.502372,4.934024
380,0,0.5657341,5.474779
381,0,0.4950736,4.679247
382,0,0.5820517,6.078317
383,0,0.5035966,5.225425
384,0,0.5730357,5.745562
385,0,0.5178272,5.185244
386,0,0.5729997,6.066373
387,0,0.5401068,5.69345
388,0,0.5616992,5.8351
389,0,0.4129601,4.765015
390,0,0.533025,5.572377
391,0,0.5103796,5.147166
392,0,0.4945468,5.097533
393,0,0.4968205,4.820124
394,0,0.5509708,5.513826
395,0,0.5513066,5.556171
396,0,0.596758,5.693547
397,0,0.4991409,5.067213
398,0,0.5498567,5.703889
399,0,0.5689752,5.506032
400,0,0.559715,5.520123
401,0,0,20.37167
402,0,0.5486019,5.076076
403,0,0,10.51768
404,0,0.5161344,5.443324
405,0,0.5371865,5.268451
406,0,0.5121709,5.215843
407,0,0.5339813,5.203566
408,0,0.4904012,4.575724
409,0,0.5213857,5.126109
410,0,0.5478743,5.560254
411,0,0.5179572,5.141689
412,0,0.5379404,5.225596
413,0,0.5247331,5.212275
414,0,0.5003862,5.029983
415,0,0.5239903,5.244282
416,0,0.5492042,5.274028
417,0,0.5715597,5.562583
418,0,0.4937797,4.62804
419,0,0.546885,5.461925
420,0,0.5519115,5.540404
421,0,0,11.9037
422,0,0.4756685,4.538457
423,0,0.5347305,5.709047
424,0,0.5233045,5.208658
425,0,0.5074638,5.162877
426,0,0.6325048,5.241096
427,0,0,12.52413
428,0,0.5060249,4.71251
429,0,0.5441525,5.687016
430,0,0.5090486,5.204191
431,0,0.5662618,5.818247
432,0,0.5418466,5.545677
433,0,0.5902498,5.621321
434,0,0,16.15157
435,0,0.541123,5.153289
436,0,0.5037754,4.627715
437,0,0.4847342,4.525676
438,0,0.4918001,4.881672
439,0,0.5695263,6.067474
440,0,0.5176152,5.069137
441,0,0.5112178,5.021137
442,0,0.5571187,5.850337
443,0,0.5507569,5.449106
444,0,0.5844843,6.484584
445,0,0.5142985,5.271299
446,0,0.5061503,5.292806
447,0,0.538785,5.587734
448,0,0.4859178,5.104527
449,0,0,11.94195
450,0,0,0
451,0,0.5016319,4.858638
452,0,0.5601838,6.101521
453,0,0.5439957,5.724988
454,0,0.5418728,5.129482
455,0,0.5109268,5.085628
456,0,0.5136873,5.134779
457,0,0.5348287,5.261864
458,0,0.4957491,5.049296
459,0,0.5754126,5.712687
460,0,0.5878831,5.913416
461,0,0,9.454472
462,0,0.516089,4.971269
463,0,0,9.294106
464,0,0.5451733,5.523896
465,0,0.5408457,5.416908
466,0,0.5029633,5.280618
467,0,0.5147233,5.234249
468,0,0.5340391,5.655712
469,0,0.5346715,5.722282
470,0,0.495431,5.430137
471,0,0.5340246,5.319669
472,0,0,7.364953
473,0,0.4936139,4.873335
474,0,0.5420704,5.248353
475,0,0.5067725,4.60689
476,0,0.5219083,5.281703
477,0,0.5316957,5.38027
478,0,0.5050204,5.057025
479,0,0.5230008,5.229543
480,0,0.5156093,5.22837
481,0,0.5240964,5.052533
482,0,0,10.63264
483,0,0.5229742,5.221347
484,0,0.5559653,5.711473
485,0,0,9.657616
486,0,0.4976655,4.961618
487,0,0.5035909,4.957747
488,0,0.5619602,6.193394
489,0,0.5938674,6.185793
490,0,0.5156312,5.509955
491,0,0.5008468,5.200593
492,0,0.5314989,5.550655
493,0,0.5369043,5.377938
494,0,0.5542603,6.079823
495,0,0.5078295,4.975374
496,0,0.5649875,5.63047
497,0,0.5578485,5.493659
498,0,0.5067424,5.017089
499,0,0.5508957,6.026473
500,0,0.5578778,5.592676
501,0,0.6078805,6.306908
502,0,0.5101446,5.434323
503,0,0.5176903,5.297759
504,0,0.5382434,5.293309
505,0,0.5389501,5.243546
506,0,0.5321425,5.257748
507,0,0.549987,5.459442
508,0,0.4860761,5.008449
509,0,0,15.29382
510,0,0.5419548,5.697984
511,0,0.5590982,5.650132
512,0,0.521817,5.218824
513,0,0.5038148,4.914788
514,0,0.5261638,4.948042
515,0,0.593913,5.579288
516,0,0.5124296,5.145635
517,0,0.5027263,5.4342
518,0,0.530032,5.170199
