Episode,Captures,EscortRate,RoleDiversityRate,AvgCarrierSurvivalTime,EpisodeLength
324,1,0.0665,1.6213,15.86,993
325,1,0.0809,1.4485,11.74,680
326,1,0.1986,1.2571,10.78,735
327,1,0.5099,1.9651,15.56,659
328,1,0.2264,1.5736,11.64,605
329,1,0.6731,1.6095,16.30,676
330,1,0.1374,1.2735,16.94,808
331,1,0.5229,1.0760,13.08,763
332,1,0.7643,0.8978,15.48,734
333,1,0.1248,1.3775,11.58,657
334,1,0.1910,1.3881,11.94,670
335,1,0.1567,1.8417,12.58,619
336,1,0.2898,1.5080,15.06,628
337,1,0.2394,1.8983,13.96,639
338,1,0.0108,1.6799,10.46,553
339,1,0.1211,1.8021,11.34,677
340,1,0.4659,1.3870,15.20,646
341,1,0.1829,1.9101,16.92,656
342,1,0.0205,1.3724,10.02,537
343,1,0.1138,1.2837,15.24,624
344,1,0.6057,1.2090,15.06,804
345,1,0.0895,1.6456,14.06,570
346,1,0.3650,0.9294,13.66,822
347,1,0.5913,1.8029,17.54,756
348,1,0.1689,1.7158,13.32,746
349,1,0.4931,1.1804,14.16,726
350,1,0.2367,1.1817,13.50,600
351,1,0.1420,1.4504,10.34,655
352,1,0.0000,1.7357,7.24,681
353,1,0.5060,1.0651,12.34,830
354,1,0.2770,1.3850,16.34,917
355,1,0.0613,1.2626,11.60,636
356,1,0.3470,0.9754,10.44,732
357,1,0.1996,1.9029,8.58,546
358,1,0.3364,1.6221,17.12,770
359,1,0.4391,1.3871,8.48,558
360,1,0.3829,0.9910,13.44,666
361,1,0.1125,1.7179,9.38,560
362,1,0.3194,1.0236,8.18,551
363,1,0.2642,1.2263,14.00,632
364,1,0.5871,1.9580,17.74,666
365,1,0.2140,1.6163,13.34,701
366,1,0.3075,1.6911,13.48,683
367,1,0.2606,1.7121,9.00,587
368,1,0.4353,1.7331,11.96,873
369,1,0.2606,1.1330,8.72,564
370,1,0.5869,1.3662,11.58,639
371,1,0.1863,1.2821,22.64,918
372,1,0.5904,1.2840,9.28,581
373,1,0.3024,0.8214,15.00,840
374,1,0.4922,1.1044,12.26,642
375,1,0.5424,1.1521,16.38,743
376,1,0.0156,1.4103,14.14,641
377,1,0.8488,1.4007,21.56,1078
378,1,0.5632,1.2529,10.48,696
379,1,0.2535,1.9029,20.60,927
380,1,0.4150,1.1421,9.52,535
381,1,0.5542,1.2324,16.14,951
382,1,0.6257,0.9254,15.74,764
383,1,0.2669,1.2242,21.98,1008
