Step,Action0_deg,Action1_deg,Action2_deg,Action3_deg,Action4_deg,Action5_deg
279,23.2369,-45.8822,15.5380,39.0946,-59.1808,55.6673
280,23.2369,-45.8822,15.5380,39.0946,-59.1808,55.6673
281,-45.6076,-29.6233,-45.4458,-38.5035,-57.1328,-52.1332
282,-45.6076,-29.6233,-45.4458,-38.5035,-57.1328,-52.1332
283,-45.6076,-29.6233,-45.4458,-38.5035,-57.1328,-52.1332
284,-45.6076,-29.6233,-45.4458,-38.5035,-57.1328,-52.1332
285,-45.6076,-29.6233,-45.4458,-38.5035,-57.1328,-52.1332
286,-54.6218,-58.4566,21.5125,-44.6367,-59.9659,59.8895
287,-54.6218,-58.4566,21.5125,-44.6367,-59.9659,59.8895
288,-54.6218,-58.4566,21.5125,-44.6367,-59.9659,59.8895
289,-54.6218,-58.4566,21.5125,-44.6367,-59.9659,59.8895
290,-54.6218,-58.4566,21.5125,-44.6367,-59.9659,59.8895
291,52.6589,47.2680,55.9174,-52.5065,-59.7332,-43.2346
292,52.6589,47.2680,55.9174,-52.5065,-59.7332,-43.2346
293,52.6589,47.2680,55.9174,-52.5065,-59.7332,-43.2346
294,52.6589,47.2680,55.9174,-52.5065,-59.7332,-43.2346
295,52.6589,47.2680,55.9174,-52.5065,-59.7332,-43.2346
296,58.5598,-49.9255,59.5282,49.8896,-59.6926,-24.9419
297,58.5598,-49.9255,59.5282,49.8896,-59.6926,-24.9419
298,58.5598,-49.9255,59.5282,49.8896,-59.6926,-24.9419
299,58.5598,-49.9255,59.5282,49.8896,-59.6926,-24.9419
300,58.5598,-49.9255,59.5282,49.8896,-59.6926,-24.9419
301,-13.0420,-57.3771,56.9273,56.7924,-59.0316,-33.8083
302,-13.0420,-57.3771,56.9273,56.7924,-59.0316,-33.8083
303,-13.0420,-57.3771,56.9273,56.7924,-59.0316,-33.8083
304,-13.0420,-57.3771,56.9273,56.7924,-59.0316,-33.8083
305,-13.0420,-57.3771,56.9273,56.7924,-59.0316,-33.8083
306,6.0097,-59.8463,58.8119,59.0360,-58.5775,59.7537
307,6.0097,-59.8463,58.8119,59.0360,-58.5775,59.7537
308,6.0097,-59.8463,58.8119,59.0360,-58.5775,59.7537
309,6.0097,-59.8463,58.8119,59.0360,-58.5775,59.7537
310,6.0097,-59.8463,58.8119,59.0360,-58.5775,59.7537
311,0.0112,-56.7776,26.8832,49.8490,-54.8941,-59.8799
