Episode,Captures,EscortRate,RoleDiversityRate,AvgCarrierSurvivalTime,EpisodeLength
329,1,0.0000,1.9632,8.00,462
330,1,0.8791,0.8712,18.60,893
331,1,0.2334,0.9222,6.26,527
332,1,0.0825,1.6170,9.08,812
333,1,0.3358,1.6507,12.16,670
334,1,0.5520,1.3896,17.04,788
335,1,0.5121,1.3076,13.02,621
336,1,0.2556,1.3611,15.98,720
337,1,0.0268,1.3802,8.34,597
338,1,0.1488,1.2285,17.46,941
339,1,0.5119,1.5429,19.08,840
340,1,0.0299,1.8262,12.74,702
341,1,0.0000,1.4593,10.30,540
342,1,0.4739,1.3306,14.66,844
343,1,0.8091,1.3732,18.06,812
344,1,0.1614,1.2896,12.56,632
345,1,0.0441,1.4966,12.48,725
346,1,0.0864,1.1545,17.38,880
347,1,0.1896,1.7200,10.70,575
348,1,0.0252,1.6007,9.46,556
349,1,0.6530,0.9615,18.74,1144
350,1,0.1573,1.3219,10.56,553
351,1,0.2155,1.8990,17.50,812
352,1,0.2241,1.5048,14.40,723
353,1,0.4464,1.5685,14.18,737
354,1,0.0000,1.6865,16.18,638
355,1,0.2083,1.4917,12.32,600
356,1,0.1859,1.3237,12.98,624
357,1,0.0000,1.7086,13.26,731
358,1,0.2143,1.2946,11.68,560
359,1,0.2037,1.0531,14.98,923
360,1,0.3180,1.3687,10.22,651
361,1,0.2654,1.4330,16.96,716
362,1,0.1246,1.3966,19.28,875
363,1,0.3348,0.9215,13.30,675
364,1,0.0000,1.1400,6.22,543
365,1,0.5095,1.3257,14.78,740
366,1,0.4231,1.1885,16.72,1040
367,1,0.1299,0.9683,12.04,662
368,1,0.1943,1.5710,11.78,669
369,1,0.0000,0.9817,12.60,602
370,1,0.2590,1.5113,8.42,753
371,1,0.0171,0.9771,10.02,525
372,1,0.0000,1.9797,11.80,641
373,1,0.2277,1.0613,12.40,685
374,1,0.2238,1.2238,12.40,983
375,1,0.0269,1.6674,21.28,965
376,1,0.2938,1.1708,18.48,1089
377,1,0.6508,0.8571,18.78,945
378,1,0.1254,1.8211,13.58,654
379,1,0.1527,1.7163,16.94,1061
380,1,0.1076,1.8299,13.24,688
381,1,0.1133,1.7169,16.40,724
382,1,0.6328,1.4992,11.72,629
383,1,0.1935,1.0325,8.60,646
384,1,0.0185,1.5809,11.06,649
385,1,0.3227,1.3039,9.52,533
386,1,0.6102,1.5124,17.48,726
387,1,0.2888,1.5250,16.80,1139
388,1,0.0785,1.2859,12.76,675
389,1,0.8455,1.6394,16.10,660
390,1,0.4521,1.1004,22.32,1086
391,1,0.0000,1.0260,13.06,693
392,1,0.2929,1.4347,12.04,536
393,1,0.2060,1.5335,8.78,568
394,1,0.3529,1.8419,11.26,544
395,1,0.1391,1.8846,13.44,676
396,1,0.3760,1.2044,14.24,734
397,1,0.4309,1.2173,15.88,796
398,1,0.2848,1.0538,10.50,632
399,1,0.2961,1.2218,14.36,726
400,1,0.1786,1.9554,9.66,560
401,1,0.1875,1.5165,11.60,544
402,1,0.3356,1.7020,14.26,745
403,1,0.1271,0.7143,8.30,700
404,1,0.3461,0.9567,9.16,601
405,1,0.2905,1.1586,12.86,933
406,1,0.0000,1.6117,16.92,837
407,1,0.1429,1.1599,13.68,938
408,1,0.2903,1.9161,8.38,751
409,1,0.3419,1.1208,7.20,737
410,1,0.0376,1.9013,6.98,638
411,1,0.5234,1.1565,9.28,556
412,1,0.1458,1.5915,15.90,727
413,1,0.1768,0.9669,10.22,543
414,1,0.3296,1.1732,11.16,716
415,1,0.0375,1.1264,7.56,1092
416,1,0.0000,1.3452,7.60,730
417,1,0.1861,0.8714,6.84,591
418,1,0.6376,1.3030,13.00,792
419,1,0.7142,1.1047,23.42,1137
420,1,0.2034,1.3399,20.56,1165
421,1,0.0146,1.8410,7.12,547
422,1,0.0576,1.4860,10.00,642
423,1,0.3013,1.9038,20.58,780
424,1,0.3905,1.3166,19.02,799
425,1,0.0706,1.1388,15.22,807
426,1,0.3342,1.5369,14.20,745
427,1,0.2265,1.9700,13.70,733
428,1,0.1102,1.1015,9.62,581
429,1,0.0829,1.1923,6.98,832
430,1,0.2500,1.7484,7.70,612
431,1,0.0772,1.5515,8.94,816
432,1,0.1664,1.9700,15.12,667
433,1,0.0660,1.7311,14.68,636
434,1,0.2512,1.4222,11.70,649
435,1,0.5082,1.6043,16.98,791
436,1,0.0611,1.4455,11.30,606
437,1,0.2527,1.1434,9.52,732
438,1,0.2973,1.6423,10.82,629
439,1,0.1469,1.5453,11.70,640
440,1,0.3891,1.1767,9.98,645
441,1,0.4056,1.2651,13.86,747
442,1,0.0830,1.5038,10.46,663
443,1,0.1159,1.8814,12.14,725
444,1,0.2995,1.5841,14.20,868
445,1,0.5265,1.0193,10.98,623
446,1,0.2297,1.7478,10.36,579
447,1,0.0000,1.4475,5.50,552
448,1,0.0000,1.6703,10.18,740
449,1,0.5479,1.8342,12.72,730
450,1,0.0000,1.3792,15.84,625
451,1,0.4315,1.0570,10.88,737
452,1,0.6957,1.8134,10.28,552
